Date,"Total, all industries 6",Goods-producing sector 7,Agriculture 8,"Forestry, fishing, mining, quarrying, oil and gas 9 10",Forestry and logging and support activities for forestry,"Fishing, hunting and trapping","Mining, quarrying, and oil and gas extraction 9",Utilities,Construction,Manufacturing,Durables,Non-durables,Services-producing sector 11,Wholesale and retail trade,Wholesale trade,Retail trade,Transportation and warehousing,"Finance, insurance, real estate, rental and leasing",Finance and insurance,Real estate and rental and leasing,"Professional, scientific and technical services","Business, building and other support services 12",Educational services,Health care and social assistance,"Information, culture and recreation",Accommodation and food services,Other services (except public administration),Public administration
2023-07-18,"19,027.00","4,095.60",299.4,344.7,55.1,17.4,272.3,145.4,"1,494.80","1,811.30","1,078.60",732.7,"14,931.40","2,918.40",652.9,"2,265.50",967.1,"1,220.40",870.8,349.6,"1,517.30",813.3,"1,086.60","2,438.90",876.7,"1,294.90",806.7,991
2023-08-18,"18,944.30","4,098.30",299.8,344,58.5,15.5,270,147.4,"1,506.40","1,800.80","1,079.10",721.7,"14,846.00","2,894.60",646,"2,248.60",990.7,"1,214.70",857.9,356.8,"1,480.20",823.8,"1,081.00","2,436.40",852.7,"1,294.90",792.7,984.3
2023-09-18,"18,829.90","4,053.00",296.8,339.7,57.9,17.9,264,145.7,"1,509.70","1,761.00","1,054.30",706.7,"14,776.90","2,872.30",644.8,"2,227.50",993.2,"1,211.70",863.9,347.8,"1,454.00",792,"1,305.30","2,396.10",768.8,"1,230.20",782.6,970.7
2023-10-18,"18,877.00","4,033.20",294.6,335.6,52.5,14.5,268.6,145.1,"1,487.70","1,770.20","1,050.40",719.8,"14,843.80","2,902.90",645.3,"2,257.60","1,002.50","1,209.10",868.1,341,"1,460.90",789,"1,348.50","2,411.10",764.1,"1,213.40",779.4,963
2023-11-18,"18,898.60","4,016.10",286.9,336,46.9,13.5,275.7,145.7,"1,487.60","1,759.80","1,055.00",704.8,"14,882.50","2,927.70",653.2,"2,274.50","1,001.10","1,211.30",869.9,341.4,"1,488.00",787.5,"1,372.00","2,412.30",735.6,"1,210.60",777.8,958.5
2023-12-18,"18,870.90","3,956.00",284.8,338.2,46.4,17,274.7,139.5,"1,423.00","1,770.60","1,055.40",715.2,"14,914.80","2,930.70",665.6,"2,265.00","1,010.10","1,219.40",876.1,343.3,"1,491.30",774.6,"1,384.90","2,426.90",728.9,"1,211.80",788.6,947.5
2023-01-19,"18,627.90","3,794.60",268.2,337.1,48.7,14.8,273.6,136.4,"1,324.40","1,728.60","1,033.30",695.3,"14,833.30","2,884.70",649.3,"2,235.40","1,010.00","1,208.30",856.3,351.9,"1,507.10",753.9,"1,375.80","2,446.90",725.6,"1,178.30",780.7,962
2023-02-19,"18,724.10","3,797.60",268.7,342,48.5,13.9,279.7,135.7,"1,332.70","1,718.40","1,023.90",694.5,"14,926.60","2,876.00",633.3,"2,242.80","1,002.80","1,224.10",869.7,354.4,"1,527.40",775.7,"1,390.40","2,448.90",739.7,"1,175.50",784.6,981.5
2023-03-19,"18,725.40","3,800.60",270.3,336.4,49.8,12.5,274.1,135,"1,342.80","1,716.10","1,040.60",675.6,"14,924.70","2,908.50",647.8,"2,260.70","1,010.60","1,227.00",852.1,374.9,"1,534.00",758,"1,369.80","2,428.00",744.5,"1,165.10",793.1,986.2
2023-04-19,"18,930.40","3,900.10",288.2,328.4,44.5,17.1,266.8,136.2,"1,403.10","1,744.20","1,044.00",700.2,"15,030.30","2,929.80",648.2,"2,281.60","1,026.10","1,238.70",862,376.8,"1,525.20",753.2,"1,370.70","2,433.50",757.6,"1,192.90",802.6,"1,000.10"
2023-05-19,"19,315.50","4,052.00",310.4,339.5,44.5,26.5,268.5,141.4,"1,467.20","1,793.40","1,057.00",736.4,"15,263.60","2,981.00",655.3,"2,325.70","1,045.80","1,241.90",860.7,381.3,"1,565.80",785,"1,350.50","2,458.00",783.1,"1,222.70",817.6,"1,012.20"
2023-06-19,"19,474.10","4,101.30",311,341.9,50.6,24.2,267.1,142.2,"1,506.90","1,799.20","1,075.70",723.5,"15,372.80","2,963.50",659.3,"2,304.20","1,054.40","1,237.90",861.9,376,"1,583.30",784.5,"1,359.60","2,483.00",831.8,"1,240.70",798.9,"1,035.00"
2023-07-19,"19,375.90","4,142.00",313.7,337.3,49.2,16.2,271.9,136.8,"1,556.60","1,797.50","1,070.30",727.2,"15,233.90","2,961.20",695.5,"2,265.70","1,028.90","1,238.90",871.1,367.8,"1,585.50",807.6,"1,097.80","2,503.80",894.1,"1,260.10",806.4,"1,049.70"
2023-08-19,"19,396.10","4,160.30",314.7,331.4,47.4,15.1,268.9,137.2,"1,577.90","1,799.10","1,072.10",727,"15,235.70","2,958.60",691.1,"2,267.50","1,029.60","1,255.70",896.5,359.1,"1,591.00",778.6,"1,097.90","2,510.90",888,"1,272.80",801.1,"1,051.50"
2023-09-19,"19,280.70","4,103.00",309,327.7,42.7,16.1,268.9,126.6,"1,581.40","1,758.30","1,055.40",702.9,"15,177.70","2,922.80",676.3,"2,246.60","1,053.20","1,242.30",867.2,375.1,"1,568.90",751.7,"1,352.70","2,494.80",763.9,"1,233.60",774.6,"1,019.20"
2023-10-19,"19,285.60","4,048.90",301,330,45.8,15.6,268.6,127.3,"1,560.20","1,730.60","1,056.50",674.1,"15,236.70","2,935.30",669.7,"2,265.60","1,045.30","1,253.80",885.2,368.5,"1,573.50",748.4,"1,384.60","2,502.50",751.4,"1,236.00",775.8,"1,030.20"
2023-11-19,"19,169.60","3,988.00",294.4,317.6,44,15,258.6,128.5,"1,538.60","1,708.90","1,042.80",666.1,"15,181.60","2,950.50",668,"2,282.50","1,026.20","1,256.40",892.9,363.5,"1,563.80",738.3,"1,409.00","2,504.00",734.4,"1,222.20",778.4,998.6
2023-12-19,"19,148.40","3,929.60",278.3,320,45.7,17.5,256.9,127.9,"1,495.30","1,707.90","1,059.40",648.5,"15,218.80","2,981.10",657.7,"2,323.40","1,038.50","1,245.00",885.9,359,"1,567.50",726.7,"1,407.40","2,508.70",744.6,"1,237.50",775.2,986.7
2023-01-20,"18,869.40","3,824.90",275.2,313.1,40.4,17.5,255.2,131.2,"1,400.20","1,705.20","1,030.30",674.9,"15,044.50","2,906.80",630.3,"2,276.50","1,026.60","1,241.00",887.6,353.3,"1,562.10",709.6,"1,402.50","2,504.30",745.9,"1,186.30",770.4,989.1
2023-02-20,"18,925.70","3,845.80",274.7,312,43.2,14.6,254.2,134.6,"1,407.30","1,717.30","1,037.50",679.7,"15,079.90","2,924.80",623.5,"2,301.20","1,021.20","1,247.00",897.8,349.2,"1,558.50",719.4,"1,414.20","2,507.00",747.6,"1,172.10",776.6,991.6
2023-03-20,"17,786.90","3,764.10",265.1,308.6,39.9,16.4,252.3,128,"1,379.90","1,682.50","1,019.70",662.8,"14,022.80","2,722.20",636.6,"2,085.60",973.7,"1,222.60",894.6,328,"1,566.70",686.2,"1,264.70","2,362.10",631.6,895.8,714.2,983.1
2023-04-20,"15,922.10","3,243.70",271.6,278.3,40.4,15.8,222.1,132.3,"1,129.90","1,431.60",800.3,631.3,"12,678.30","2,317.30",560.8,"1,756.50",875.1,"1,201.40",920.2,281.1,"1,485.50",623.6,"1,246.70","2,228.10",554.3,598.4,577.6,970.4
2023-05-20,"16,548.80","3,562.80",287.4,301.3,48.1,27.5,225.7,130.5,"1,298.00","1,545.70",898.8,646.8,"12,986.00","2,440.10",579.1,"1,861.00",866.2,"1,214.30",904.7,309.5,"1,498.90",643.4,"1,253.80","2,246.80",584,648.8,603.1,986.8
2023-06-20,"17,774.60","3,815.10",291.1,304.9,51.9,27,226,134.1,"1,453.40","1,631.50",944.3,687.2,"13,959.50","2,681.40",634.8,"2,046.60",920.2,"1,241.50",913.9,327.6,"1,522.80",716.2,"1,269.50","2,395.90",674.5,860.9,661.3,"1,015.40"
2023-07-20,"18,062.50","3,893.00",288.1,313.9,66.6,20.9,226.4,133.1,"1,477.80","1,680.20","1,017.30",662.9,"14,169.50","2,799.80",637.5,"2,162.30",913.3,"1,233.50",917.8,315.8,"1,557.20",711.2,"1,062.70","2,419.80",747.2,"1,001.60",698.1,"1,025.00"
2023-08-20,"18,274.70","3,939.90",289.5,303.6,60.9,19.9,222.8,133.7,"1,502.70","1,710.50","1,017.10",693.3,"14,334.80","2,825.90",640.6,"2,185.30",915,"1,228.20",916.7,311.5,"1,575.40",727.5,"1,075.00","2,421.70",746.7,"1,048.90",730.9,"1,039.60"
2023-09-20,"18,572.00","3,947.00",282.8,298.1,56.4,16.6,225.1,139.8,"1,498.20","1,728.20","1,047.60",680.5,"14,625.00","2,812.40",638.6,"2,173.80",947.4,"1,231.80",923.9,307.9,"1,572.10",709.6,"1,410.70","2,423.60",713.2,"1,053.70",734.2,"1,016.30"
2023-10-20,"18,661.60","3,941.60",284.9,311.5,45.3,16.3,250,137.7,"1,480.10","1,727.40","1,011.80",715.6,"14,720.00","2,865.70",664.9,"2,200.80",933.5,"1,260.10",920.4,339.6,"1,614.70",685.4,"1,469.90","2,430.60",690.7,"1,005.30",746,"1,018.10"
2023-11-20,"18,635.20","3,913.10",280.7,316.1,52.7,16,247.4,129.9,"1,453.90","1,732.40","1,022.70",709.8,"14,722.10","2,908.90",667.4,"2,241.40",960.9,"1,280.70",942.3,338.4,"1,602.90",673.1,"1,473.50","2,453.40",650.7,965.4,740.9,"1,011.80"
2023-12-20,"18,491.50","3,870.00",265.8,322.1,54.3,18.8,248.9,131.4,"1,410.60","1,740.20","1,029.10",711.1,"14,621.50","2,930.00",662.4,"2,267.60",959.6,"1,287.70",945.2,342.5,"1,625.00",637.1,"1,475.40","2,436.60",635.7,911.1,699,"1,024.30"
